sku,product_name,barcode,revenue,quantity,avg_unit_cost,total_cost,gross_margin,margin_pct,match_method,cost_vendor,cost_entries
LL-20,School Master - Black Back Chrome Shad,,55.96,4,270.0,1080.0,-1024.04,-1829.9,exact_name,Livingston Lures,1
LL-18,Pro Ripper - Blue Pearl,,54.95,5,351.0,1755.0,-1700.05,-3093.8,exact_name,Livingston Lures,1
S8-20,Seeker 8 - Cracked,,52.95,6,163.8,982.8,-929.85,-1756.1,exact_name,Weihai Runten Industrial Limited,1
LL-12,JerkMaster 121 - Pro Green,,51.96,4,216.0,864.0,-812.04,-1562.8,exact_name,Livingston Lures,1
CB-7,Create A Bait - Patriot Blank,,45.94,8,225.0,1800.0,-1754.06,-3818.2,fuzzy_name,Weihai Runten Industrial Limited,8
STICKER-RF,Robo Fish Sticker,,44.0,22,248.0,5456.0,-5412.0,-12300.0,exact_name,"Heyuan Boyue Color Printing Co.,Ltd",1
LL-4,FlatMaster - Citrus Sparkle,,43.96,4,423.0,1692.0,-1648.04,-3749.0,exact_name,Livingston Lures,1
S8-22,Seeker 8 - Candy Apple Craw,,43.96,5,163.8,819.0,-775.04,-1763.1,exact_name,Weihai Runten Industrial Limited,1
LL-9,JerkMaster 121 - Black Back Chrome Shad,,38.97,3,735.0,2205.0,-2166.03,-5558.2,exact_name,Livingston Lures,1
CB-8,Create A Bait - Squarebanger Blank,,38.96,7,225.0,1575.0,-1536.04,-3942.6,fuzzy_name,Weihai Runten Industrial Limited,8
ALSBDW-WAK-7-1,Mustad Arm Lock Double Willow Spinnerbait - Wakasagi,,37.96,4,896.69,3586.77,-3548.81,-9348.8,fuzzy_name,O Mustad & Sons,6
LL-3,FlatMaster - Chartreuse Splatter Shad,,32.97,3,783.0,2349.0,-2316.03,-7024.7,exact_name,Livingston Lures,1
LL-2,DiveMaster Jr. - Black Back Chrome Shad,,32.97,3,1650.0,4950.0,-4917.03,-14913.6,exact_name,Livingston Lures,1
MB-STICKER-SNAGGLEFISH,Snagglefish,,32.0,16,290.4,4646.4,-4614.4,-14420.0,fuzzy_name,"Heyuan Boyue Color Printing Co.,Ltd",2
CB-5,Create A Bait - Flatline Blank,,31.98,6,225.0,1350.0,-1318.02,-4121.4,fuzzy_name,Weihai Runten Industrial Limited,8
T20574,Rebel Poppin Minnow - Blue Candy,20554072537,31.96,4,351.0,1404.0,-1372.04,-4293.0,fuzzy_name,Pradco Outdoors Brands,3
BMLARDXLMG,Liz-ARD XL - Memphis Green,,30.18,6,231.25,1387.5,-1357.32,-4497.4,exact_name,Monster Fish Outdoors,1
BB1-CRCW,Balsa B - Crusty Crawdad,,29.85,3,1050.0,3150.0,-3120.15,-10452.8,fuzzy_name,Northland Tackle,1
STICKER-SKEL,Wavy Days Sticker,,28.0,14,292.0,4088.0,-4060.0,-14500.0,exact_name,"Heyuan Boyue Color Printing Co.,Ltd",1
ALSBDW-BO-7-1,Mustad Arm Lock Double Willow Spinnerbait - Black & Orange,,27.98,4,896.69,3586.77,-3558.79,-12719.1,fuzzy_name,O Mustad & Sons,6
1670-550,Rattlesnake'O,,27.96,4,954.72,3818.88,-3790.92,-13558.4,fuzzy_name,GSM Outdoors,1
CB-1,Create A Bait - Slick Stick 99 Blank,,26.98,5,225.0,1125.0,-1098.02,-4069.8,fuzzy_name,Weihai Runten Industrial Limited,8
B8-HH,Heavy Hitt'R,,26.97,3,4275.0,12825.0,-12798.03,-47452.8,fuzzy_name,B8Lab,1
LL-11,JerkMaster 121 - Gold Digger,,25.98,2,597.0,1194.0,-1168.02,-4495.8,exact_name,Livingston Lures,1
KIDS-PAINT,Create a Bait Paint Set,,24.95,5,100.0,500.0,-475.05,-1904.0,exact_name,"Yiwu Tengyuan Painting Materials Co., Ltd.",1
112LN-BK-OP,Richardson 112LN Ice Grey w/ Orange MONSTERBASS patch - Black w/ Orange,,24.95,1,262.8,262.8,-237.85,-953.3,fuzzy_name,ATS Printing,1
112OPCO-RT-OP,Richardson 112PCO Realtree w/ Orange MONSTERBASS patch - Realtree w/ Orange,,24.95,1,238.8,238.8,-213.85,-857.1,fuzzy_name,ATS Printing,1
BMLARDXLTM,Liz-ARD XL - The Meeting,,24.59,5,211.25,1056.25,-1031.66,-4195.4,exact_name,Monster Fish Outdoors,1
T2000S,Rebel Poppin Minnow - Bone,20554013431,23.97,3,351.0,1053.0,-1029.03,-4293.0,fuzzy_name,Pradco Outdoors Brands,3
T20562,Rebel Poppin Minnow - Chrome Silver,20554071967,23.97,3,351.0,1053.0,-1029.03,-4293.0,fuzzy_name,Pradco Outdoors Brands,3
LL-31,Livingston Lures Walk N Pop 77 - Money Clown,,23.78,2,426.0,852.0,-828.22,-3482.8,fuzzy_name,Livingston Lures,1
MBQ45-WRC,Quiver 4.5 Watermelon Red Core,,23.45,5,760.32,3801.6,-3778.15,-16111.5,exact_name,A.N.E Wholesale,1
BMBB-AC,Brawler Bug 3.5 - Alabama Craw,,22.36,4,133.75,535.0,-512.64,-2292.7,exact_name,Monster Fish Outdoors,1
