sku,product_name,barcode,revenue,quantity
LUNKERBAG-3,LUNKERBAG Tackle Storage System - Bag + 3 Vault 3700's,,5197.5,50
multi-0425,Platinum - Bass & Panfish Monthly: April 2025,,5169.99,208
mb-subscription-23700,The Dog Days of Summer Box,,5079.0,128
multi-0925,Platinum - Bass & Panfish 3 Month: September 2024,,5071.14,129
silver-0625,Silver Monthly: June 2025,,5037.96,247
TikTok-49,MONSTERBASS Mystery Box - The Bigger Box,,4977.85,84
OB3C74H-K,"Omen Black Kayak Casting Rod - 7'4""H Casting Rod",,4858.18,38
multi-1025,Platinum - Bass & Panfish Monthly: October 2025,,4779.54,118
silver-0425,Silver Monthly: April 2025,,4740.0,237
RSC-DB,Member Exclusive: Rod Cover - Dark Blue,,4651.4,1335
silver-0825,Silver Monthly: August 2024,,4632.22,226
silver-0525,Silver Monthly: May 2025,,4565.74,245
multi-1224,Platinum - Bass & Panfish 12 Month: December 2024 - Default Title,,4481.0,154
KLRO-5.2-3.0,Kalon R - Radioactive Spinning Reel,,4458.15,60
SK-BOX4,Strike King Hard Bait Bundle,,4446.0,111
multi-1124,Platinum - Bass & Panfish 12 Month: November 2024,,4422.0,220
GOLD-0925,Gold Monthly: September 2024 - 1 Month,,4389.38,118
PLATINUM-NEW-GIFT,Platinum Series: Gift Subscription,,4386.0,96
GOLD-0425,Gold Monthly: April 2025 - 1 Month,,4360.99,102
OBO1-7.3-RH,Origin O1 Blackout Baitcasting Reel - 7.3:1 Gear Ratio - Right Hand Retrieve - Size 100,,4339.38,62
multi-1225,Platinum - Bass & Panfish 6 Month: December 2025,,4321.24,148
BO2C73MH,"13 Fishing Blackout 7'3"" MH Casting Rod - 7'3"" MH",,4319.52,48
MB-GCARD-25,Gift Cards - $25 Gift Card,,4275.0,171
GOLD-0525,Gold 3 Month: May 2025 - 3 Month,,4228.83,108
CBJH38-18,Z-Man JackHammer ChatterBait - 3/8oz / Bama Bug,,4077.45,255
season-pass-gold,The Season Pass - Medium,,4070.0,14
ROLLO-6,April's Mystery 6 Pack of Baits,,4055.5,78
platinum-0624,Platinum Bonus Box,,4053.38,88
MB-AMZ-TOP,Topwater Blowup Box,,4010.0,111
silver-1025,Silver Monthly: October 2025,,3991.71,194
multi-0825,Platinum - Bass & Panfish 3 Month: August 2025,,3990.19,219
MB-3700-DEEP,Monsterbox 3700 Deep,,3942.0,267
mb-subscription-23600,Big Bass Bait Box,,3914.0,103
silver-0925,Silver Monthly: September 2025,,3814.0,185
MB-AMZ-RPS,Amazon Platinum Box,,3799.05,95
multi-0125,Platinum - Bass & Panfish Monthly: January 2025,,3790.5,166
silver-1125,Silver Monthly: November 2025,,3775.04,183
multi-0225,Platinum - Bass & Panfish 3 Month: February 2025,,3763.0,163
KIT-WACKY,The 61-Piece MONSTERBASS Wacky/Neko Rig Kit – Master the Finesse Game! 🎯,,3726.0,58
KIT-TEXAS,64 Piece Texas Rig Kit,,3699.26,74
BB-110JERK-4,Banger 110 - 4 Pack,,3654.79,158
mb-subscription-23100,LUNKERHUNT Takeover Box,,3534.0,93
